Episode,Loss,Epsilon,WinRandom,WinChampion
50,36.7565,0.9991,,
100,29.6518,0.9982,,
150,20.7490,0.9973,,
200,18.5912,0.9964,,
250,17.4856,0.9955,,
50,31.9742,0.9991,,
100,27.1844,0.9982,,
150,22.4549,0.9973,,
200,20.5312,0.9964,,
250,16.8703,0.9955,,
250,16.8703,0.9955,0.67,
300,14.5450,0.9946,,
350,13.7935,0.9937,,
400,12.4318,0.9928,,
450,10.7360,0.9919,,
500,10.1171,0.9910,,
550,9.9455,0.9901,,
600,9.7584,0.9892,,
650,8.9443,0.9883,,
700,8.4067,0.9874,,
750,8.4253,0.9865,,
750,8.4253,0.9865,0.965,
800,8.0951,0.9856,,
850,7.6541,0.9847,,
900,7.3230,0.9838,,
950,6.8556,0.9829,,
1000,6.3232,0.9820,,
1000,6.3232,0.9820,0.925,
1050,6.4916,0.9811,,
1100,6.2320,0.9802,,
1150,6.3659,0.9793,,
1200,6.5167,0.9784,,
1250,6.7169,0.9775,,
1300,6.5263,0.9766,,
1350,6.3037,0.9757,,
1400,6.5435,0.9748,,
1450,6.5795,0.9739,,
1500,6.6611,0.9730,,
1550,6.1894,0.9721,,
1600,6.2840,0.9712,,
1650,6.9950,0.9703,,
1700,6.8102,0.9694,,
1750,6.7546,0.9685,,
1800,6.2937,0.9676,,
1850,5.8111,0.9667,,
1900,6.0404,0.9658,,
1950,6.3710,0.9649,,
2000,6.3569,0.9640,,
2000,6.3569,0.9640,0.98,
2050,5.9611,0.9631,,
2100,6.0425,0.9622,,
2150,5.8238,0.9613,,
2200,5.5506,0.9604,,
2250,6.0413,0.9595,,
2300,6.2252,0.9586,,
2350,5.9316,0.9577,,
2400,5.3453,0.9568,,
2450,5.8037,0.9559,,
2500,6.0464,0.9550,,
2500,6.0464,0.9550,0.995,
2550,5.4043,0.9541,,
2600,5.9049,0.9532,,
2650,5.7748,0.9523,,
2700,5.7360,0.9514,,
2750,6.1474,0.9505,,
2800,5.8697,0.9496,,
2850,5.8382,0.9487,,
2900,5.5858,0.9478,,
2950,5.3835,0.9469,,
3000,5.1811,0.9460,,
3000,5.1811,0.9460,0.995,
3050,5.1193,0.9451,,
3100,5.4461,0.9442,,
3150,5.7957,0.9433,,
3200,5.7631,0.9424,,
3250,5.8082,0.9415,,
3300,5.7660,0.9406,,
3350,5.3160,0.9397,,
3400,5.3157,0.9388,,
3450,5.4689,0.9379,,
3500,5.3387,0.9370,,
3550,5.5190,0.9361,,
3600,5.7584,0.9352,,
3650,5.4245,0.9343,,
3700,5.2717,0.9334,,
3750,5.3979,0.9325,,
3800,5.2831,0.9316,,
3850,5.2072,0.9307,,
3900,5.0883,0.9298,,
3950,5.3229,0.9289,,
4000,5.2000,0.9280,,
4000,5.2000,0.9280,1.0,
4050,4.9189,0.9271,,
4100,5.4528,0.9262,,
4150,5.5918,0.9253,,
4200,5.5751,0.9244,,
4250,5.2420,0.9235,,
4300,5.1447,0.9226,,
4350,5.0215,0.9217,,
4400,5.0505,0.9208,,
4450,5.4808,0.9199,,
4500,5.4432,0.9190,,
4550,5.5107,0.9181,,
4600,5.4694,0.9172,,
4650,5.0833,0.9163,,
4700,5.0274,0.9154,,
4750,4.9933,0.9145,,
4800,4.9818,0.9136,,
4850,5.6342,0.9127,,
4900,5.6665,0.9118,,
4950,5.3125,0.9109,,
5000,5.1677,0.9100,,
5000,5.1677,0.9100,1.0,
5050,5.1766,0.9091,,
5100,5.1178,0.9082,,
5150,4.7984,0.9073,,
5200,4.9766,0.9064,,
5250,5.1469,0.9055,,
5300,5.2378,0.9046,,
5350,5.4221,0.9037,,
5400,5.2194,0.9028,,
5450,5.1335,0.9019,,
5500,5.2137,0.9010,,
5550,5.0408,0.9001,,
5600,5.2836,0.8992,,
5650,5.1294,0.8983,,
5700,5.0302,0.8974,,
5750,5.6060,0.8965,,
5800,5.0552,0.8956,,
5850,4.9296,0.8947,,
5900,5.2444,0.8938,,
5950,4.8449,0.8929,,
6000,4.8308,0.8920,,
6000,4.8308,0.8920,1.0,
6050,5.2187,0.8911,,
6100,4.8840,0.8902,,
6150,4.4454,0.8893,,
6200,4.8026,0.8884,,
6250,5.1630,0.8875,,
6300,4.9060,0.8866,,
6350,4.9387,0.8857,,
6400,5.2877,0.8848,,
6450,5.4394,0.8839,,
6500,5.2287,0.8830,,
6550,5.0835,0.8821,,
6600,5.3504,0.8812,,
6650,5.1730,0.8803,,
6700,5.0359,0.8794,,
6750,4.9854,0.8785,,
6800,5.0041,0.8776,,
6850,5.0571,0.8767,,
6900,4.9135,0.8758,,
6950,4.8772,0.8749,,
7000,4.8044,0.8740,,
7000,4.8044,0.8740,1.0,
7050,4.6429,0.8731,,
7100,4.8553,0.8722,,
7150,5.2647,0.8713,,
7200,5.5922,0.8704,,
7250,5.4935,0.8695,,
7300,4.8820,0.8686,,
7350,4.6564,0.8677,,
7400,4.8153,0.8668,,
7450,4.7484,0.8659,,
7500,4.6926,0.8650,,
7500,4.6926,0.8650,0.99,
7550,4.9052,0.8641,,
7600,4.8621,0.8632,,
7650,4.8167,0.8623,,
7700,4.6931,0.8614,,
7750,4.8784,0.8605,,
7800,4.9576,0.8596,,
7850,4.7773,0.8587,,
7900,4.9039,0.8578,,
7950,4.6898,0.8569,,
8000,4.6572,0.8560,,
8000,4.6572,0.8560,1.0,
8050,4.8110,0.8551,,
8100,5.2268,0.8542,,
8150,5.3487,0.8533,,
8200,5.0605,0.8524,,
8250,4.9582,0.8515,,
8300,4.6836,0.8506,,
8350,4.6806,0.8497,,
8400,5.3304,0.8488,,
8450,5.1684,0.8479,,
